기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2013,종로구,1274,13,1770,1075,81,112,1,4,1,68.95,7022,167867,41,76,361,383,323,361,90,86,62
2013,중구,1442,10,1975,1178,138,108,0,10,8,68.95,13854,137990,43,79,422,444,331,422,91,74,79
2013,용산구,1391,13,2023,1190,44,97,0,14,39.5,76.6,11520,251925,54,86,434,486,398,369,69,81,59
2013,성동구,1100,8,1458,947,38,73,0,5,37,83,18190,306571,53,96,276,311,271,268,61,53,77
2013,광진구,1303,10,1916,1155,36,96,0,5,11,82.9,22356,381439,95,121,411,370,349,365,77,82,56
2013,동대문구,1970,16,2524,1601,166,159,0,7,37,73.2,26490,376445,80,193,489,448,464,469,114,129,154
2013,중랑구,1716,9,2369,1516,73,114,1,11,1,80,22773,421237,122,194,349,418,495,457,96,108,139
2013,성북구,1536,9,2149,1292,100,124,1,15,4,82.1,19747,485347,87,155,405,381,430,379,107,106,108
2013,강북구,1107,10,1525,860,152,85,0,8,2,76.5,14490,341921,59,131,262,265,272,300,68,79,99
2013,도봉구,934,8,1259,736,70,60,0,9,39.5,83.6,17418,360609,64,136,159,222,231,268,46,67,74
2013,노원구,1522,13,2175,1271,106,126,0,18,1,85.3,16763,594027,123,234,341,395,410,406,90,100,89
2013,은평구,1270,10,1716,1052,78,101,0,16,23,86.1,17107,508111,94,175,270,293,304,314,92,72,112
2013,서대문구,1081,14,1578,926,47,89,0,16,3,79.1,18405,324067,80,92,268,299,299,294,71,92,97
2013,마포구,1747,23,2732,1534,84,109,0,19,1,74.1,16407,391098,75,202,642,616,457,459,98,104,102
2013,양천구,1340,14,1905,1076,98,136,1,14,15,88.3,28554,496934,103,173,292,357,384,380,79,67,84
2013,강서구,1715,26,2517,1465,116,117,0,15,2,79.1,13885,575236,114,182,414,498,471,525,115,111,113
2013,구로구,1415,19,2165,1240,61,102,0,10,2,79.5,22475,452168,99,170,381,451,393,435,105,59,91
2013,금천구,939,10,1419,777,47,92,0,11,12,77.1,19840,258254,50,97,281,274,292,279,62,53,41
2013,영등포구,2157,27.5,3128,1801,172,170,1,13,0,74.2,17187,421577,109,175,599,673,557,603,145,140,156
2013,동작구,1233,11,1848,1057,55,106,0,13,2,78.9,25773,421487,83,118,339,407,350,330,73,81,78
2013,관악구,1753,20,2482,1489,72,128,0,8,39.5,77.2,18097,535128,149,176,534,466,421,440,109,101,106
2013,서초구,2055,19,3304,1798,70,171,0,15,1,79.7,9501,446541,113,139,696,686.5,663,571,134,114,94
2013,강남구,2506.25,27.5,3529.5,2201.75,159,221.5,0,25,39.5,73.1,14409,569152,138,217,716.5,686.5,690.75,664.25,167,161,99
2013,송파구,2473,21,3529.5,1984,187.25,184,3,26.5,39.5,79.5,19925,674955,169,322.25,673,686.5,645,645,154,131,131
2013,강동구,1356,12,1942,1168,63,93,1,14,17,83.5,19846,487969,113,148,312,339,396,395,77,87,87
2014,종로구,1314,11,1790,1176,44,85,0,8,1,68.95,6914,165344,50,72,392,351,374,329,88,81,64
2014,중구,1305,7,1785,1073,134,79,1,7,11,68.95,13677,136227,35,69,324,426,344,327,100,106,61
2014,용산구,1350,8,1971,1222,27,64,0,6,31,79,11428,249914,46,81,437,462,343,366,79,89,76
2014,성동구,1189,11,1712,1069,19,56,0,11,34,81,18028,303891,56,120,296,350,311,359,70,81,80
2014,광진구,1480,12,2081,1347,47,72,0,10,4,76.6,22117,377375,119,184,418,409,344,359,85,93,82
2014,동대문구,1848,27,2407,1588,95,103,0,14,39.5,68.95,26481,376319,89,181,425,405,428,514,100,146,146
2014,중랑구,1622,11,2180,1434,66,80,1,16,25,79.3,22892,423411,103,237,345,334,378,460,116,104,114
2014,성북구,1664,17,2227,1462,89,96,0,16,1,81.1,19366,475961,134,190,401,422,377,367,105,126,122
2014,강북구,1313,12,1773,967,187.25,93,0,6,2,73.3,14341,338410,75,175,279,284,322,352,88,100,110
2014,도봉구,919,14,1205,765,39,55,0,6,39.5,79,17183,355712,71,113,175,181,192,254,60,75,98
2014,노원구,1516,17,2038,1364,47,90,0,10,5,81.4,16538,586056,120,224,303,363,396,344,86,86,133
2014,은평구,1325,11,1889,1147,88,71,0,9,10,83.4,16943,503243,124,215,272,316,304,364,102,91,112
2014,서대문구,1122,16,1590,966,84,60,0,10,2,75.9,18225,320861,87,123,324,287,273,270,73,80,89
2014,마포구,1759,20,2633,1594,48,106,1,10,0,74.2,16607,395830,71,173,592,601,464,460,102,94,96
2014,양천구,1466,13,2000,1167,164,105,0,11,19,86.1,28196,490708,132,190,303,346,404,367,94,86,91
2014,강서구,1806,27.5,2614,1599,89,104,0,9,5,79.6,14282,591653,123,210,421,522,485,500,128,128,129
2014,구로구,1566,19,2205,1388,51,115,0,11,1,76.1,22721,457131,110,170,347,410,413,438,111,120,105
2014,금천구,1029,13,1535,888,51,68,0,11,11,76.4,19818,258030,75,126,234,266,310,298,83,82,74
